PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
69.46,67.05,147458.45,11000152.9607,141935.88,10189337.9336,10584757.2726,147388.99,141868.83,10995328.2691,10184842.2311,10579466.0848,10578650.476,10580099.9796,10993869.1195,10183391.9757,147374.75,141855.21,10993147.2707,10182830.2847,10727397.5021,0.835944519161
70.86,67.42,147314.83,10978131.9637,141799.6,10169325.7334,10563763.4282,147243.97,141732.18,10973110.8241,10164780.277,10558321.6584,10557717.2326,10558986.047,10971618.1832,10163500.8625,147229.57,141720.74,10970862.6961,10163106.8338,10708433.0583,0.835944519161
70.27,68.42,147176.62,10956687.7364,141693.71,10153804.5891,10545418.055,147106.35,141625.29,10951749.8635,10149123.2927,10540025.603,10539555.455,10540610.1816,10950343.2741,10148046.3132,147092.87,141616.58,10949673.6739,10147855.5522,10692236.9994,0.835944519161
68.82,66.08,147074.45,10941298.7977,141609.05,10141616.1481,10531704.3278,147005.63,141542.97,10936562.6053,10137249.5817,10526799.8821,10525977.3404,10527156.7022,10935408.3427,10136047.053,146995.01,141532.31,10934988.0841,10135727.1205,10680496.3024,0.835944519161
66.88,64.28,146954.68,10923533.336,141489.47,10124873.8825,10514457.7367,146887.8,141425.19,10919060.4016,10120741.9641,10509615.9137,10509058.0204,10510158.6903,10917708.0764,10119613.3333,146874.42,141415.25,10917091.6684,10119365.2741,10666274.3055,0.835944519161
66.73,65.38,146828.61,10905122.1201,141379.46,10109378.4248,10497549.9941,146761.88,141314.08,10900669.2272,10105103.8804,10492724.7385,10491959.6392,10493187.1867,10899402.2823,10103856.9699,146749.56,141302.74,10898873.2176,10103492.4664,10650474.0259,0.835944519161
69.58,68.01,146711.64,10887804.764,141269.1,10093424.2956,10480927.6115,146642.06,141201.09,10882963.3876,10088798.9355,10475818.0945,10474987.3207,10476195.4757,10881782.6375,10087572.9005,146631.23,141190.38,10881338.9959,10087227.4572,10634541.4713,0.835944519161
68.4,67.29,146588.35,10869397.4625,141144.57,10075292.1387,10462651.5877,146519.95,141077.28,10864718.9025,10070764.1946,10457452.4071,10456809.0794,10458048.9517,10863314.4351,10069504.8873,146506.19,141066.04,10862647.1969,10069125.1778,10617434.1285,0.835944519161
69.85,65.69,146472.12,10851690.433,141017.44,10056775.2654,10444503.0127,146402.27,140951.75,10846811.4105,10052460.0893,10439513.4415,10438638.8362,10439914.5662,10845609.5616,10051165.8468,146391.23,140939.8,10845147.2409,10050747.2958,10602211.2448,0.835944519161
69.2,65.98,146349.13,10833121.9771,140882.73,10037153.3523,10425375.3019,146279.93,140816.75,10828333.3371,10032799.9919,10420118.9383,10419190.8002,10420809.4859,10826834.8228,10031169.9533,146265.17,140800.64,10826072.6955,10030414.5842,10584729.4888,0.835944519161
70.0,65.58,146196.84,10809962.8606,140730.95,10015034.5267,10402738.3819,146126.84,140665.37,10805062.8606,10010733.7903,10397545.0007,10396531.7337,10398147.7819,10803655.9316,10009105.3171,146113.32,140649.19,10802987.2702,10008349.8291,10564346.5379,0.835944519161
67.7,65.24,146038.09,10785525.2815,140558.93,9989430.2403,10377692.3309,145970.39,140493.69,10780941.9915,9985173.9827,10372400.7605,10371730.2856,10373275.5829,10779258.4811,9983611.7292,145953.15,140478.23,10778310.4779,9982917.7503,10541466.6766,0.835944519161
67.62,62.68,145875.16,10760860.0088,140409.65,9968011.5237,10354701.6965,145807.54,140346.97,10756287.5444,9964082.7413,10349814.9352,10348907.7554,10350463.2749,10754844.877,9962512.2207,145793.17,140330.87,10754137.6487,9961805.2353,10521083.8738,0.835944519161
65.48,62.73,145696.21,10734173.8195,140235.5,9943008.3964,10328869.7824,145630.73,140172.77,10729886.1891,9939073.3435,10323694.8536,10322997.0408,10324762.222,10728005.2585,9937300.1799,145610.7,140154.13,10726861.8594,9936387.3195,10496460.3784,0.835944519161
66.02,64.66,145510.77,10706315.0709,140061.15,9917847.4067,10302392.6553,145444.75,139996.49,10701956.4305,9913666.4911,10297100.715,10296491.8858,10298123.8021,10700124.4212,9912022.5626,145425.39,139979.84,10699025.3265,9911236.0906,10471563.4833,0.835944519161
66.82,65.86,145325.95,10678112.8383,139900.95,9894324.4681,10276610.3643,145259.13,139835.09,10673647.9259,9889986.9285,10271171.7298,10270845.8886,10272209.5991,10671797.3397,9888600.8271,145239.73,139821.86,10670678.9499,9888069.24,10447041.1559,0.835944519161
65.35,63.06,145142.54,10650360.8452,139737.17,9870701.6719,10251001.0258,145077.19,139674.11,10646090.2227,9866725.1083,10245932.4211,10245169.7215,10246880.0548,10644337.244,9865011.8153,145058.61,139656.22,10643316.6003,9864148.7694,10423146.9241,0.835944519161
